前	后
提前	延缓,挪后,耽搁,延迟,迟延,推迟
示弱	逞强
逞强	示弱
好心	恶意,歹意
恶意	好心,善意,美意
破碎	完好,完整
完整	残破,细碎,零碎,残缺,破碎
酥软	坚硬
坚硬	柔软,酥软,松软
诚实	撒谎,虚假,虚伪,狡猾,说谎
撒谎	坦诚,诚实
正常	失常,畸形,错乱,异样,异常
异常	寻常,平常,正常
非凡	特等,平凡,平庸
平凡	优越,卓越,伟大,希奇,杰出,轩昂,等闲,非凡,出色,不凡,骏逸,超卓
特别	普通,一般
扫兴	高兴,尽兴
轻蔑	尊敬,敬重
敬重	轻慢,轻蔑
开心	悲痛,伤心,苦闷,难受
苦闷	开心,舒畅
寻常	异常,别致
违背	遵从,遵循,按照,依从,服从,严守,遵守
遵循	违反,违背,背离
怀疑	坚信,猜忌,相信
相信	猜疑,怀疑,犯疑
强盛	衰败
尊重	歧视,渺视,凌辱,轻视,侮辱,不齿
侮辱	尊重,尊敬
嘈杂	寂静,宁静,肃静,安静,安谧,静谧,清静
寂静	骚闹,嘈杂,喧闹
信奉	背弃
背弃	鄙视,信奉
失信	守约,守信,取信,背信
守信	失信,食言
率领	追随
追随	率领
退化	进化
进化	退化
凝结	蒸发,融化,离散,溶解
溶解	凝结
减少	增添,增多,增加
酷暑	寒冬,严热,严冬,严寒
安谧	嘈杂,热闹
凉爽	温暖,酷热,阴寒,闷热
柔和	严厉,强烈
严厉	和蔼,温和,柔和
同意	拒绝,禁绝
清醒	陶醉,恍惚,麻木,发昏,昏迷,糊涂
荒芜	耕种,繁荣
耕种	开垦,精熟,荒芜
纯熟	生疏
生疏	熟悉,熟识,了解,烂熟,疏间,熟练,纯熟,谙练,娴熟
随便	不苟,拘谨,严正,慎重,郑重,讲究
厌恶	爱怜,喜爱,喜欢,爱好,厌恨,喜好,佩服
痛快	烦愁,难受
幽静	喧闹
慌忙	从容,镇定
熟识	生疏,陌生
伶俐	笨拙,痴呆,鲁钝
怕羞	大方
大方	吝啬,怕羞,小气,腼腆,忸怩,没羞,羞涩,羞怯
团结	分裂
羞涩	大方
洒脱	庸俗,拘谨
拘谨	自如,洒脱,放肆,放荡,忌惮,随便,奔放
明朗	阴沉,灰暗,阴郁,暗昧,昏暗,低沉
阴沉	明朗
轻盈	沉重
迂回	径直
径直	迂回
饱满	干瘪,空瘪,奋发
衰弱	健壮,强壮,强健,雄壮
丰收	歉收,荒歉,饥馑
歉收	丰产,丰收
淡妆	浓抹
浓抹	浓妆,淡妆
相宜	不宜
不宜	相宜,适宜
自在	拘束
拘束	逍遥,消遥,自在,超脱
奇特	平常
密集	疏散,稀疏,零散,零星,疏落
挺进	撤退,溃退
撤退	挺进,固守,进攻
宽敞	狭窄
倾斜	竖直,垂直
竖直	倾斜
闻名	无名
有趣	无聊,乏味
乏味	没趣,有趣
舒畅	忧闷,郁闷,憋闷,沉闷,惆怅,苦闷,沉郁
结束	开首,开始
整齐	狼藉,参差,零乱,凌乱,杂乱,纷乱,错落,错杂
纷乱	整齐,严整,杂沓,承平
凶恶	平和,慈悲,慈善,良善,善良,慈祥,和善
可爱	可恶,可憎,可恨
可恶	可喜,可爱
附近	远方,遥远,邻近
远方	附近,近处,远处
